,trna.rep.1.tp.1,trna.rep.2.tp.1,trna.rep.3.tp.1,trna.rep.1.tp.2,trna.rep.2.tp.2,trna.rep.3.tp.2,trna.rep.1.tp.3,trna.rep.2.tp.3,trna.rep.3.tp.3,trna.rep.1.tp.4,trna.rep.2.tp.4,trna.rep.3.tp.4,rbf.rep.1.tp.1,rbf.rep.2.tp.1,rbf.rep.3.tp.1,rbf.rep.1.tp.2,rbf.rep.2.tp.2,rbf.rep.3.tp.2,rbf.rep.1.tp.3,rbf.rep.2.tp.3,rbf.rep.3.tp.3,rbf.rep.1.tp.4,rbf.rep.2.tp.4,rbf.rep.3.tp.4
VNG_0001H,180.508,195.282,155.381,314.237,343.074,295.048,616.561,460.926,441.994,231.424,212.569,187.331,98.192,59.8052,40.018,161.788,123.223,82.199,133.688,164.998,125.049,98.5647,46.8641,49.1149
VNG_0002G,124.386,122.243,107.936,250.136,219.123,216.454,344.104,433.814,311.68,167.068,160.603,129.399,132.275,112.961,97.5757,238.204,214.356,192.329,202.477,268.165,209.659,133.823,78.8072,84.7839
VNG_0003C,81.2127,81.2543,80.5624,185.058,168.876,168.045,293.276,323.267,231.055,134.921,131.385,109.123,47.4229,36.0986,28.8023,79.9873,66.5402,63.6516,58.5972,79.8829,76.5364,66.0623,46.2879,51.8573
VNG_0005H,59.6525,56.0876,51.7744,57.9847,56.8178,60.5386,57.2948,47.5291,39.115,17.425,19.5693,18.9971,89.8629,42.8969,29.9986,65.4006,43.3814,47.6019,23.6439,43.2015,38.1924,17.3307,13.854,10.8513
VNG_0006G,128.493,122.837,118.426,114.281,123.842,118.713,142.918,153.62,118.152,63.4267,68.0029,60.6515,51.8271,33.5069,18.1323,37.4741,27.7636,27.3945,11.9871,19.2127,26.8954,15.4835,9.53997,11.9268
VNG_0008G,86.6925,90.0111,72.5836,76.0745,91.8541,71.2284,98.9682,101.715,74.8136,45.5451,45.4179,39.7613,44.7745,41.6055,21.7584,46.2211,23.139,25.4631,8.70989,24.3176,23.747,14.781,10.6045,18.2934
VNG_0009G,47.2585,60.1556,42.9115,40.7085,55.5359,45.1759,83.1917,41.199,37.6166,14.4507,15.2873,19.1062,32.2823,20.6767,16.1413,32.5388,16.9245,21.6583,5.79479,13.2348,16.2952,1.80097,0.958213,2.32786
VNG_0011C,106.226,95.731,75.7351,65.5501,68.4121,77.5441,70.2405,31.023,25.9018,15.5183,14.7212,19.1159,75.3679,30.0302,20.0376,39.3796,26.9367,26.3256,10.4626,12.6516,14.8005,17.4849,15.9292,8.50723
VNG_0013C,1285.97,1291.37,1237.1,2004.95,1916.67,1726.7,3238.76,4099.26,3586.39,2592.09,2490.89,2091.82,45.0564,47.2676,32.9649,67.396,43.0927,47.9558,52.7798,84.5167,86.7769,30.6045,14.5375,42.9983
VNG_0014C,5.68512,9.75836,19.6015,6.12814,15.7713,10.3907,199.444,6.39381,21.3496,8.28169,12.3653,20.5087,0,0,25.7071,0,0,0,0,0,0,0,0,0
VNG_0015H,119.466,127.87,127.895,108.447,119.31,97.1009,79.6306,36.2768,28.841,61.7295,44.5085,60.9511,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0016H,92.8804,96.8962,99.4903,108.72,131.724,128.571,194.229,117.717,98.1494,156.941,122.032,198.66,0,12.6771,11.7337,22.2372,0,0,8.06506,0,0,8.80307,4.75841,14.1136
VNG_0017H,4.32497,5.96547,10.6247,4.24575,9.17162,7.32353,40.7768,3.44541,7.83086,2.36262,3.07243,6.26869,0,2.96208,3.66689,0,0,0,0,0,0,0,0,0
VNG_0018H,4.75317,11.3179,12.0324,5.54732,10.3299,9.68253,69.7715,3.09487,12.6828,3.85862,6.79273,18.855,0,4.11201,0,12.6227,8.17453,2.65057,0,0,0,13.0289,0,0
VNG_0019H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0020H,4.975,10.3119,10.479,6.12018,11.8508,9.62883,41.8071,5.00005,12.4611,4.4385,4.41476,10.9511,2.71242,1.48847,1.96874,2.47634,0.775325,2.15327,2.48453,0,1.29747,0,0,0
VNG_0021H,27.6192,33.6758,21.0086,23.9171,33.3793,22.6798,143.072,9.54879,12.0072,10.8193,12.3995,17.1695,8.73194,1.98695,0.943406,3.07744,1.89948,0.688337,1.3423,1.25724,0.775457,1.09472,2.09816,1.19078
VNG_0022H,8.27582,13.5845,13.1202,6.67695,12.5825,12.1839,51.9139,3.76009,9.94263,5.21349,4.65345,9.73278,4.65469,2.62909,0.73328,0,0,0,0,0,0,0.993695,0,0
VNG_0023H,3.68455,4.85004,5.51717,2.90125,5.72325,5.6613,36.5996,3.58906,5.56333,3.31907,3.59784,7.23775,0,1.30228,0,0,0,3.36539,0,0,0,0,0,0
VNG_0024H,5.69048,14.7064,11.1524,4.66962,14.2364,13.7654,73.5487,7.41034,18.4374,7.50675,7.37575,14.7594,0,1.69557,2.53389,0,0,3.8947,0,3.4853,1.56915,0.473339,0,0.579299
VNG_0025H,34.523,43.8913,34.9328,54.0863,50.9288,63.9047,130.767,62.7414,74.2847,56.9147,59.7128,50.4734,0,0,0,0,0,6.34181,0,0,0,0,0,0
